id,ax,ay,az,gx,gy,gz,temp
1,10416,312,13528,31,355,-53,42.6
2,10456,248,13560,51,364,-92,42.7
3,10472,216,13476,57,430,-85,42.5
4,10344,316,13540,59,464,-81,42.5
5,10460,368,13428,44,417,-87,42.6
6,10420,340,13416,4,419,-86,42.6
7,10464,376,13448,32,365,-89,42.7
8,10484,264,13480,64,385,-56,42.8
9,10412,276,13488,47,425,-94,42.6
10,10464,352,13472,46,411,-91,42.6
11,10376,376,13428,24,389,-83,42.5
12,10392,308,13436,61,411,-73,42.8
13,10424,264,13420,46,426,-109,42.6
14,10464,316,13436,31,380,-63,42.7
15,10496,372,13568,33,391,-49,42.5
16,10420,392,13444,46,375,-118,42.7
17,10428,300,13480,22,420,-51,42.8
18,10424,344,13564,43,380,-62,42.8
19,10480,312,13564,24,372,-138,42.7
20,10452,356,13452,42,428,-86,42.7
21,10372,320,13468,24,412,-97,43.0
22,10404,328,13544,65,390,-107,42.7
23,10412,316,13388,50,405,-74,42.8
24,10380,284,13544,28,397,-66,42.5
25,10488,324,13476,49,384,-95,42.7
26,10408,304,13488,35,435,-72,42.8
27,10416,368,13532,19,377,-77,42.6
28,10364,372,13460,30,392,-91,42.4
29,10456,344,13472,76,441,-82,43.0
30,10456,292,13440,79,346,-88,42.6
31,10436,324,13420,25,442,-88,42.6
32,10384,324,13408,57,411,-75,42.5
33,10384,324,13488,39,408,-109,42.6
34,10460,384,13416,44,413,-113,42.5
35,10424,252,13532,43,406,-68,42.6
36,10544,280,13400,51,360,-57,42.3
37,10512,320,13548,53,380,-82,42.8
38,10492,236,13460,16,405,-86,42.6
39,10456,340,13544,38,408,-120,42.8
40,10476,368,13488,46,377,-86,42.7
41,10408,200,13624,19,365,-112,42.8
42,10440,328,13496,36,383,-104,42.6
43,10448,304,13384,20,422,-76,42.6
44,10480,292,13528,29,408,-95,42.6
45,10496,480,13504,34,464,-74,42.7
46,10364,384,13332,41,333,-88,42.6
47,10436,284,13440,50,375,-70,42.5
48,10472,248,13420,35,380,-76,42.7
49,10420,332,13444,68,413,-90,42.6
50,10412,300,13476,25,378,-65,42.5
51,10448,336,13404,42,388,-64,42.6
52,10456,320,13516,47,382,-76,42.6
53,10444,296,13408,43,385,-85,42.6
54,10456,468,13388,39,424,-53,42.8
55,10476,364,13520,19,406,-95,42.6
56,10408,364,13524,43,374,-87,42.8
57,10420,324,13440,44,422,-81,42.6
58,10416,300,13504,92,416,-100,42.8
59,10380,352,13408,43,427,-88,42.6
60,10572,244,13388,41,425,-56,42.7
61,10408,320,13460,26,439,-99,42.8
62,10416,328,13436,36,406,-94,42.6
